x         y_RK45
0.000000  0.500000
0.164894  0.460430
0.338693  0.422108
0.511789  0.387112
1.259393  0.266376
1.564813  0.228651
1.731380  0.210441
1.785244  0.205836
1.835656  0.208499
1.898725  0.259821
1.970997  0.481690
2.025423  0.730673
2.087218  0.927018
2.155183  0.978110
2.243367  0.947770
2.460792  0.850433
3.291811  0.561286
4.000000  0.393914
